instances,feature_CL,feature_TD_P,feature_LSC,feature_DCP,feature_CLD,feature_N2,feature_TD_U,feature_LSR,feature_Usefulness,feature_kDN,feature_DS,feature_Harmfulness,feature_N1,algo_random_forest
92,7.550312375315116e-09,0.5,0.47058823529411764,0.0,7.55031259735972e-09,0.1104619317144423,0.5,0.5853617021276596,0.4571428571428572,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
93,0.9361806013107006,1.0,1.0,0.0,0.936180601310701,0.6838651278569813,1.0,0.9058054075922055,1.0,0.8,0.9411764705882353,0.11428571428571428,1.0,0.8407831793660099
94,0.43233071912558874,1.0,1.0,0.0,0.4323307191255891,0.6021234981838502,1.0,0.8530140379851362,0.9117647058823529,0.8,0.9705882352941176,0.20588235294117646,1.0,1.8137383759468302
95,1.1379483910722854e-08,0.25,0.05882352941176472,0.0,1.1379382103271496e-08,0.23084752035529243,0.25,0.22016885553470933,0.37142857142857144,0.0,0.0,0.0,0.0,9.992007221626415e-16
96,2.0410229994993756e-07,0.5,0.5588235294117647,0.0,2.041022995613595e-07,0.1781943938842373,0.5,0.5548654244306419,0.6285714285714286,0.0,0.11764705882352944,0.0,0.0,9.992007221626415e-16
97,0.02259726731642886,0.5,0.9117647058823529,0.0,0.022597267316428804,0.0,0.5,0.8660465116279069,0.8285714285714285,0.2,0.11764705882352944,0.02857142857142857,0.0,0.07145896398214498
98,4.166204359279391e-08,0.25,0.05882352941176472,0.0,4.1662043037682395e-08,0.0,0.25,0.21725944306589473,0.05714285714285716,0.0,0.0,0.0,0.0,0.005449604767564703
99,2.8071390101302995e-08,0.25,0.0,0.0,2.8071389046591122e-08,0.05663189269746649,0.25,0.0,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
100,6.793037228280951e-07,1.0,0.7272727272727273,0.0,5.639036394500252e-07,0.15636931620964944,1.0,0.6130701265621269,0.7352941176470589,0.0,0.08823529411764708,0.0,0.0,0.3364722366212129
101,0.6828597331392692,1.0,1.0,0.0,0.6828597331392696,0.6357124584292657,1.0,0.879414006266407,0.9428571428571428,1.0,0.9411764705882353,0.2571428571428571,1.0,1.3350010667323402
102,2.3078848941704422e-05,1.0,0.24242424242424243,0.0,2.3078848941371355e-05,0.10062893081761004,1.0,0.3129857284159955,0.6470588235294117,0.0,0.08823529411764708,0.0,0.0,9.992007221626415e-16
103,6.3475262681578215e-06,0.5,0.6764705882352942,0.0,6.34752626810231e-06,0.20192808754559666,0.5,0.6918821044160548,0.4285714285714286,0.0,0.11764705882352944,0.0,0.0,0.023256862164267235
104,1.0427861241169012e-08,0.25,0.02941176470588236,0.0,1.0427859964412534e-08,0.029453015427770013,0.25,0.02722044728434514,0.05714285714285716,0.0,0.0,0.0,0.0,9.992007221626415e-16
